Regions,Multiple main languages in household (6 categories) Code,Multiple main languages in household (6 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
West Midlands,5,Any other combination of multiple main languages,2,2. Professional occupations,5411
West Midlands,5,Any other combination of multiple main languages,3,3. Associate professional and technical occupations,2688
West Midlands,5,Any other combination of multiple main languages,4,4. Administrative and secretarial occupations,2041
West Midlands,5,Any other combination of multiple main languages,5,5. Skilled trades occupations,3601
West Midlands,5,Any other combination of multiple main languages,6,"6. Caring, leisure and other service occupations",2939
West Midlands,5,Any other combination of multiple main languages,7,7. Sales and customer service occupations,2689
West Midlands,5,Any other combination of multiple main languages,8,"8. Process, plant and machine operatives",7106
West Midlands,5,Any other combination of multiple main languages,9,9. Elementary occupations,7485
East of England,-8,Does not apply,-8,Does not apply,0
East of England,-8,Does not apply,1,"1. Managers, directors and senior officials",0
East of England,-8,Does not apply,2,2. Professional occupations,0
East of England,-8,Does not apply,3,3. Associate professional and technical occupations,0
East of England,-8,Does not apply,4,4. Administrative and secretarial occupations,0
East of England,-8,Does not apply,5,5. Skilled trades occupations,0
East of England,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
East of England,-8,Does not apply,7,7. Sales and customer service occupations,0
East of England,-8,Does not apply,8,"8. Process, plant and machine operatives",0
East of England,-8,Does not apply,9,9. Elementary occupations,0
East of England,1,One-person household,-8,Does not apply,452532
East of England,1,One-person household,1,"1. Managers, directors and senior officials",39580
East of England,1,One-person household,2,2. Professional occupations,66173
East of England,1,One-person household,3,3. Associate professional and technical occupations,42744
East of England,1,One-person household,4,4. Administrative and secretarial occupations,29931
East of England,1,One-person household,5,5. Skilled trades occupations,34224
East of England,1,One-person household,6,"6. Caring, leisure and other service occupations",24059
East of England,1,One-person household,7,7. Sales and customer service occupations,18661
East of England,1,One-person household,8,"8. Process, plant and machine operatives",23932
East of England,1,One-person household,9,9. Elementary occupations,27972
East of England,2,All household members have the same main language,-8,Does not apply,485313
East of England,2,All household members have the same main language,1,"1. Managers, directors and senior officials",226403
East of England,2,All household members have the same main language,2,2. Professional occupations,254935
East of England,2,All household members have the same main language,3,3. Associate professional and technical occupations,162027
East of England,2,All household members have the same main language,4,4. Administrative and secretarial occupations,94856
East of England,2,All household members have the same main language,5,5. Skilled trades occupations,166946
East of England,2,All household members have the same main language,6,"6. Caring, leisure and other service occupations",88194
East of England,2,All household members have the same main language,7,7. Sales and customer service occupations,60026
East of England,2,All household members have the same main language,8,"8. Process, plant and machine operatives",102255
East of England,2,All household members have the same main language,9,9. Elementary occupations,96730
East of England,3,"Main language differs between generations, but not within partnerships",-8,Does not apply,7103
East of England,3,"Main language differs between generations, but not within partnerships",1,"1. Managers, directors and senior officials",3707
East of England,3,"Main language differs between generations, but not within partnerships",2,2. Professional occupations,6023
East of England,3,"Main language differs between generations, but not within partnerships",3,3. Associate professional and technical occupations,1940
East of England,3,"Main language differs between generations, but not within partnerships",4,4. Administrative and secretarial occupations,1389
East of England,3,"Main language differs between generations, but not within partnerships",5,5. Skilled trades occupations,4584
East of England,3,"Main language differs between generations, but not within partnerships",6,"6. Caring, leisure and other service occupations",2917
East of England,3,"Main language differs between generations, but not within partnerships",7,7. Sales and customer service occupations,1835
East of England,3,"Main language differs between generations, but not within partnerships",8,"8. Process, plant and machine operatives",5450
East of England,3,"Main language differs between generations, but not within partnerships",9,9. Elementary occupations,5486
East of England,4,Main language differs within partnerships,-8,Does not apply,5232
East of England,4,Main language differs within partnerships,1,"1. Managers, directors and senior officials",7458
East of England,4,Main language differs within partnerships,2,2. Professional occupations,11565
East of England,4,Main language differs within partnerships,3,3. Associate professional and technical occupations,5152
East of England,4,Main language differs within partnerships,4,4. Administrative and secretarial occupations,2267
East of England,4,Main language differs within partnerships,5,5. Skilled trades occupations,4925
East of England,4,Main language differs within partnerships,6,"6. Caring, leisure and other service occupations",2808
East of England,4,Main language differs within partnerships,7,7. Sales and customer service occupations,1952
East of England,4,Main language differs within partnerships,8,"8. Process, plant and machine operatives",5717
East of England,4,Main language differs within partnerships,9,9. Elementary occupations,4779
East of England,5,Any other combination of multiple main languages,-8,Does not apply,4329
East of England,5,Any other combination of multiple main languages,1,"1. Managers, directors and senior officials",4090
East of England,5,Any other combination of multiple main languages,2,2. Professional occupations,6177
East of England,5,Any other combination of multiple main languages,3,3. Associate professional and technical occupations,2740
East of England,5,Any other combination of multiple main languages,4,4. Administrative and secretarial occupations,1615
East of England,5,Any other combination of multiple main languages,5,5. Skilled trades occupations,3906
East of England,5,Any other combination of multiple main languages,6,"6. Caring, leisure and other service occupations",3102
East of England,5,Any other combination of multiple main languages,7,7. Sales and customer service occupations,2023
East of England,5,Any other combination of multiple main languages,8,"8. Process, plant and machine operatives",5098
East of England,5,Any other combination of multiple main languages,9,9. Elementary occupations,5917
London,-8,Does not apply,-8,Does not apply,0
London,-8,Does not apply,1,"1. Managers, directors and senior officials",0
London,-8,Does not apply,2,2. Professional occupations,0
London,-8,Does not apply,3,3. Associate professional and technical occupations,0
London,-8,Does not apply,4,4. Administrative and secretarial occupations,0
London,-8,Does not apply,5,5. Skilled trades occupations,0
London,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
London,-8,Does not apply,7,7. Sales and customer service occupations,0
London,-8,Does not apply,8,"8. Process, plant and machine operatives",0
London,-8,Does not apply,9,9. Elementary occupations,0
London,1,One-person household,-8,Does not apply,508930
London,1,One-person household,1,"1. Managers, directors and senior officials",82506
London,1,One-person household,2,2. Professional occupations,150764
London,1,One-person household,3,3. Associate professional and technical occupations,83462
London,1,One-person household,4,4. Administrative and secretarial occupations,42170
London,1,One-person household,5,5. Skilled trades occupations,28695
London,1,One-person household,6,"6. Caring, leisure and other service occupations",31115
London,1,One-person household,7,7. Sales and customer service occupations,21334
London,1,One-person household,8,"8. Process, plant and machine operatives",20716
London,1,One-person household,9,9. Elementary occupations,32291
London,2,All household members have the same main language,-8,Does not apply,441636
London,2,All household members have the same main language,1,"1. Managers, directors and senior officials",263280
London,2,All household members have the same main language,2,2. Professional occupations,392642
London,2,All household members have the same main language,3,3. Associate professional and technical occupations,212796
London,2,All household members have the same main language,4,4. Administrative and secretarial occupations,108755
London,2,All household members have the same main language,5,5. Skilled trades occupations,113028
London,2,All household members have the same main language,6,"6. Caring, leisure and other service occupations",103104
London,2,All household members have the same main language,7,7. Sales and customer service occupations,65060
London,2,All household members have the same main language,8,"8. Process, plant and machine operatives",76530
London,2,All household members have the same main language,9,9. Elementary occupations,103501
London,3,"Main language differs between generations, but not within partnerships",-8,Does not apply,58260
London,3,"Main language differs between generations, but not within partnerships",1,"1. Managers, directors and senior officials",14963
London,3,"Main language differs between generations, but not within partnerships",2,2. Professional occupations,16503
London,3,"Main language differs between generations, but not within partnerships",3,3. Associate professional and technical occupations,7731
London,3,"Main language differs between generations, but not within partnerships",4,4. Administrative and secretarial occupations,6159
London,3,"Main language differs between generations, but not within partnerships",5,5. Skilled trades occupations,17749
London,3,"Main language differs between generations, but not within partnerships",6,"6. Caring, leisure and other service occupations",14775
London,3,"Main language differs between generations, but not within partnerships",7,7. Sales and customer service occupations,11586
London,3,"Main language differs between generations, but not within partnerships",8,"8. Process, plant and machine operatives",17434
London,3,"Main language differs between generations, but not within partnerships",9,9. Elementary occupations,23237
London,4,Main language differs within partnerships,-8,Does not apply,20559
London,4,Main language differs within partnerships,1,"1. Managers, directors and senior officials",28303
London,4,Main language differs within partnerships,2,2. Professional occupations,38646
London,4,Main language differs within partnerships,3,3. Associate professional and technical occupations,19050
London,4,Main language differs within partnerships,4,4. Administrative and secretarial occupations,7832
London,4,Main language differs within partnerships,5,5. Skilled trades occupations,13466
London,4,Main language differs within partnerships,6,"6. Caring, leisure and other service occupations",7558
London,4,Main language differs within partnerships,7,7. Sales and customer service occupations,7261
London,4,Main language differs within partnerships,8,"8. Process, plant and machine operatives",11687
London,4,Main language differs within partnerships,9,9. Elementary occupations,11324
London,5,Any other combination of multiple main languages,-8,Does not apply,25759
London,5,Any other combination of multiple main languages,1,"1. Managers, directors and senior officials",21657
London,5,Any other combination of multiple main languages,2,2. Professional occupations,31096
London,5,Any other combination of multiple main languages,3,3. Associate professional and technical occupations,18046
London,5,Any other combination of multiple main languages,4,4. Administrative and secretarial occupations,9694
London,5,Any other combination of multiple main languages,5,5. Skilled trades occupations,20091
London,5,Any other combination of multiple main languages,6,"6. Caring, leisure and other service occupations",13143
London,5,Any other combination of multiple main languages,7,7. Sales and customer service occupations,10684
London,5,Any other combination of multiple main languages,8,"8. Process, plant and machine operatives",14901
London,5,Any other combination of multiple main languages,9,9. Elementary occupations,22425
South East,-8,Does not apply,-8,Does not apply,0
South East,-8,Does not apply,1,"1. Managers, directors and senior officials",0
South East,-8,Does not apply,2,2. Professional occupations,0
South East,-8,Does not apply,3,3. Associate professional and technical occupations,0
South East,-8,Does not apply,4,4. Administrative and secretarial occupations,0
South East,-8,Does not apply,5,5. Skilled trades occupations,0
South East,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
South East,-8,Does not apply,7,7. Sales and customer service occupations,0
South East,-8,Does not apply,8,"8. Process, plant and machine operatives",0
South East,-8,Does not apply,9,9. Elementary occupations,0
South East,1,One-person household,-8,Does not apply,640540
South East,1,One-person household,1,"1. Managers, directors and senior officials",61750
South East,1,One-person household,2,2. Professional occupations,103708
South East,1,One-person household,3,3. Associate professional and technical occupations,65686
South East,1,One-person household,4,4. Administrative and secretarial occupations,42492
South East,1,One-person household,5,5. Skilled trades occupations,45612
South East,1,One-person household,6,"6. Caring, leisure and other service occupations",35149
South East,1,One-person household,7,7. Sales and customer service occupations,25573
South East,1,One-person household,8,"8. Process, plant and machine operatives",26764
South East,1,One-person household,9,9. Elementary occupations,34465
South East,2,All household members have the same main language,-8,Does not apply,682216
South East,2,All household members have the same main language,1,"1. Managers, directors and senior officials",361557
South East,2,All household members have the same main language,2,2. Professional occupations,410408
South East,2,All household members have the same main language,3,3. Associate professional and technical occupations,256786
South East,2,All household members have the same main language,4,4. Administrative and secretarial occupations,134947
South East,2,All household members have the same main language,5,5. Skilled trades occupations,225604
South East,2,All household members have the same main language,6,"6. Caring, leisure and other service occupations",129240
South East,2,All household members have the same main language,7,7. Sales and customer service occupations,84558
South East,2,All household members have the same main language,8,"8. Process, plant and machine operatives",119619
South East,2,All household members have the same main language,9,9. Elementary occupations,124076
South East,3,"Main language differs between generations, but not within partnerships",-8,Does not apply,9237
South East,3,"Main language differs between generations, but not within partnerships",1,"1. Managers, directors and senior officials",5762
South East,3,"Main language differs between generations, but not within partnerships",2,2. Professional occupations,9871
South East,3,"Main language differs between generations, but not within partnerships",3,3. Associate professional and technical occupations,3335
South East,3,"Main language differs between generations, but not within partnerships",4,4. Administrative and secretarial occupations,1801
South East,3,"Main language differs between generations, but not within partnerships",5,5. Skilled trades occupations,5575
South East,3,"Main language differs between generations, but not within partnerships",6,"6. Caring, leisure and other service occupations",4327
South East,3,"Main language differs between generations, but not within partnerships",7,7. Sales and customer service occupations,2500
South East,3,"Main language differs between generations, but not within partnerships",8,"8. Process, plant and machine operatives",6555
South East,3,"Main language differs between generations, but not within partnerships",9,9. Elementary occupations,6875
South East,4,Main language differs within partnerships,-8,Does not apply,8412
South East,4,Main language differs within partnerships,1,"1. Managers, directors and senior officials",13347
South East,4,Main language differs within partnerships,2,2. Professional occupations,19835
South East,4,Main language differs within partnerships,3,3. Associate professional and technical occupations,9272
South East,4,Main language differs within partnerships,4,4. Administrative and secretarial occupations,3670
South East,4,Main language differs within partnerships,5,5. Skilled trades occupations,7175
South East,4,Main language differs within partnerships,6,"6. Caring, leisure and other service occupations",4535
South East,4,Main language differs within partnerships,7,7. Sales and customer service occupations,3169
South East,4,Main language differs within partnerships,8,"8. Process, plant and machine operatives",7067
South East,4,Main language differs within partnerships,9,9. Elementary occupations,5946
South East,5,Any other combination of multiple main languages,-8,Does not apply,6790
South East,5,Any other combination of multiple main languages,1,"1. Managers, directors and senior officials",6773
South East,5,Any other combination of multiple main languages,2,2. Professional occupations,9857
South East,5,Any other combination of multiple main languages,3,3. Associate professional and technical occupations,4613
South East,5,Any other combination of multiple main languages,4,4. Administrative and secretarial occupations,2507
South East,5,Any other combination of multiple main languages,5,5. Skilled trades occupations,5557
South East,5,Any other combination of multiple main languages,6,"6. Caring, leisure and other service occupations",5376
South East,5,Any other combination of multiple main languages,7,7. Sales and customer service occupations,3007
South East,5,Any other combination of multiple main languages,8,"8. Process, plant and machine operatives",6342
South East,5,Any other combination of multiple main languages,9,9. Elementary occupations,8127
South West,-8,Does not apply,-8,Does not apply,0
South West,-8,Does not apply,1,"1. Managers, directors and senior officials",0
South West,-8,Does not apply,2,2. Professional occupations,0
South West,-8,Does not apply,3,3. Associate professional and technical occupations,0
South West,-8,Does not apply,4,4. Administrative and secretarial occupations,0
South West,-8,Does not apply,5,5. Skilled trades occupations,0
South West,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
South West,-8,Does not apply,7,7. Sales and customer service occupations,0
South West,-8,Does not apply,8,"8. Process, plant and machine operatives",0
South West,-8,Does not apply,9,9. Elementary occupations,0
South West,1,One-person household,-8,Does not apply,454469
South West,1,One-person household,1,"1. Managers, directors and senior officials",33997
South West,1,One-person household,2,2. Professional occupations,59476
South West,1,One-person household,3,3. Associate professional and technical occupations,37510
South West,1,One-person household,4,4. Administrative and secretarial occupations,26655
South West,1,One-person household,5,5. Skilled trades occupations,35298
South West,1,One-person household,6,"6. Caring, leisure and other service occupations",25860
South West,1,One-person household,7,7. Sales and customer service occupations,19650
South West,1,One-person household,8,"8. Process, plant and machine operatives",21066
South West,1,One-person household,9,9. Elementary occupations,27342
South West,2,All household members have the same main language,-8,Does not apply,484325
South West,2,All household members have the same main language,1,"1. Managers, directors and senior officials",188622
South West,2,All household members have the same main language,2,2. Professional occupations,230083
South West,2,All household members have the same main language,3,3. Associate professional and technical occupations,143630
South West,2,All household members have the same main language,4,4. Administrative and secretarial occupations,83771
South West,2,All household members have the same main language,5,5. Skilled trades occupations,172648
South West,2,All household members have the same main language,6,"6. Caring, leisure and other service occupations",87574
South West,2,All household members have the same main language,7,7. Sales and customer service occupations,60152
South West,2,All household members have the same main language,8,"8. Process, plant and machine operatives",89533
South West,2,All household members have the same main language,9,9. Elementary occupations,90739
South West,3,"Main language differs between generations, but not within partnerships",-8,Does not apply,3106
South West,3,"Main language differs between generations, but not within partnerships",1,"1. Managers, directors and senior officials",1499
South West,3,"Main language differs between generations, but not within partnerships",2,2. Professional occupations,2941
South West,3,"Main language differs between generations, but not within partnerships",3,3. Associate professional and technical occupations,1127
South West,3,"Main language differs between generations, but not within partnerships",4,4. Administrative and secretarial occupations,594
South West,3,"Main language differs between generations, but not within partnerships",5,5. Skilled trades occupations,2305
South West,3,"Main language differs between generations, but not within partnerships",6,"6. Caring, leisure and other service occupations",1863
South West,3,"Main language differs between generations, but not within partnerships",7,7. Sales and customer service occupations,754
South West,3,"Main language differs between generations, but not within partnerships",8,"8. Process, plant and machine operatives",2864
South West,3,"Main language differs between generations, but not within partnerships",9,9. Elementary occupations,2886
South West,4,Main language differs within partnerships,-8,Does not apply,3475
South West,4,Main language differs within partnerships,1,"1. Managers, directors and senior officials",4552
South West,4,Main language differs within partnerships,2,2. Professional occupations,7596
South West,4,Main language differs within partnerships,3,3. Associate professional and technical occupations,3715
South West,4,Main language differs within partnerships,4,4. Administrative and secretarial occupations,1503
South West,4,Main language differs within partnerships,5,5. Skilled trades occupations,3521
South West,4,Main language differs within partnerships,6,"6. Caring, leisure and other service occupations",2212
South West,4,Main language differs within partnerships,7,7. Sales and customer service occupations,1319
South West,4,Main language differs within partnerships,8,"8. Process, plant and machine operatives",3133
South West,4,Main language differs within partnerships,9,9. Elementary occupations,2787
South West,5,Any other combination of multiple main languages,-8,Does not apply,3109
South West,5,Any other combination of multiple main languages,1,"1. Managers, directors and senior officials",1993
South West,5,Any other combination of multiple main languages,2,2. Professional occupations,3361
South West,5,Any other combination of multiple main languages,3,3. Associate professional and technical occupations,1724
South West,5,Any other combination of multiple main languages,4,4. Administrative and secretarial occupations,914
South West,5,Any other combination of multiple main languages,5,5. Skilled trades occupations,2326
South West,5,Any other combination of multiple main languages,6,"6. Caring, leisure and other service occupations",2203
South West,5,Any other combination of multiple main languages,7,7. Sales and customer service occupations,1216
South West,5,Any other combination of multiple main languages,8,"8. Process, plant and machine operatives",2465
South West,5,Any other combination of multiple main languages,9,9. Elementary occupations,3416
Wales,-8,Does not apply,-8,Does not apply,0
Wales,-8,Does not apply,1,"1. Managers, directors and senior officials",0
Wales,-8,Does not apply,2,2. Professional occupations,0
Wales,-8,Does not apply,3,3. Associate professional and technical occupations,0
Wales,-8,Does not apply,4,4. Administrative and secretarial occupations,0
Wales,-8,Does not apply,5,5. Skilled trades occupations,0
Wales,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
Wales,-8,Does not apply,7,7. Sales and customer service occupations,0
Wales,-8,Does not apply,8,"8. Process, plant and machine operatives",0
Wales,-8,Does not apply,9,9. Elementary occupations,0
Wales,1,One-person household,-8,Does not apply,273201
Wales,1,One-person household,1,"1. Managers, directors and senior officials",15560
Wales,1,One-person household,2,2. Professional occupations,29982
Wales,1,One-person household,3,3. Associate professional and technical occupations,19090
Wales,1,One-person household,4,4. Administrative and secretarial occupations,14670
Wales,1,One-person household,5,5. Skilled trades occupations,19440
Wales,1,One-person household,6,"6. Caring, leisure and other service occupations",15271
Wales,1,One-person household,7,7. Sales and customer service occupations,11380
Wales,1,One-person household,8,"8. Process, plant and machine operatives",14239
Wales,1,One-person household,9,9. Elementary occupations,16726
Wales,2,All household members have the same main language,-8,Does not apply,291841
Wales,2,All household members have the same main language,1,"1. Managers, directors and senior officials",78263
Wales,2,All household members have the same main language,2,2. Professional occupations,110891
Wales,2,All household members have the same main language,3,3. Associate professional and technical occupations,69546
Wales,2,All household members have the same main language,4,4. Administrative and secretarial occupations,46429
Wales,2,All household members have the same main language,5,5. Skilled trades occupations,87459
Wales,2,All household members have the same main language,6,"6. Caring, leisure and other service occupations",56632
Wales,2,All household members have the same main language,7,7. Sales and customer service occupations,37020
Wales,2,All household members have the same main language,8,"8. Process, plant and machine operatives",56946
Wales,2,All household members have the same main language,9,9. Elementary occupations,53853
Wales,3,"Main language differs between generations, but not within partnerships",-8,Does not apply,2270
Wales,3,"Main language differs between generations, but not within partnerships",1,"1. Managers, directors and senior officials",506
Wales,3,"Main language differs between generations, but not within partnerships",2,2. Professional occupations,1089
Wales,3,"Main language differs between generations, but not within partnerships",3,3. Associate professional and technical occupations,313
Wales,3,"Main language differs between generations, but not within partnerships",4,4. Administrative and secretarial occupations,208
Wales,3,"Main language differs between generations, but not within partnerships",5,5. Skilled trades occupations,1073
Wales,3,"Main language differs between generations, but not within partnerships",6,"6. Caring, leisure and other service occupations",601
Wales,3,"Main language differs between generations, but not within partnerships",7,7. Sales and customer service occupations,347
Wales,3,"Main language differs between generations, but not within partnerships",8,"8. Process, plant and machine operatives",1061
Wales,3,"Main language differs between generations, but not within partnerships",9,9. Elementary occupations,1050
Wales,4,Main language differs within partnerships,-8,Does not apply,1747
Wales,4,Main language differs within partnerships,1,"1. Managers, directors and senior officials",1333
Wales,4,Main language differs within partnerships,2,2. Professional occupations,2380
Wales,4,Main language differs within partnerships,3,3. Associate professional and technical occupations,1072
Wales,4,Main language differs within partnerships,4,4. Administrative and secretarial occupations,507
Wales,4,Main language differs within partnerships,5,5. Skilled trades occupations,1255
Wales,4,Main language differs within partnerships,6,"6. Caring, leisure and other service occupations",690
Wales,4,Main language differs within partnerships,7,7. Sales and customer service occupations,604
Wales,4,Main language differs within partnerships,8,"8. Process, plant and machine operatives",1221
Wales,4,Main language differs within partnerships,9,9. Elementary occupations,1133
Wales,5,Any other combination of multiple main languages,-8,Does not apply,1665
Wales,5,Any other combination of multiple main languages,1,"1. Managers, directors and senior officials",691
Wales,5,Any other combination of multiple main languages,2,2. Professional occupations,1093
Wales,5,Any other combination of multiple main languages,3,3. Associate professional and technical occupations,494
Wales,5,Any other combination of multiple main languages,4,4. Administrative and secretarial occupations,321
Wales,5,Any other combination of multiple main languages,5,5. Skilled trades occupations,768
Wales,5,Any other combination of multiple main languages,6,"6. Caring, leisure and other service occupations",613
Wales,5,Any other combination of multiple main languages,7,7. Sales and customer service occupations,469
Wales,5,Any other combination of multiple main languages,8,"8. Process, plant and machine operatives",950
Wales,5,Any other combination of multiple main languages,9,9. Elementary occupations,1147
